expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,ium
20075633,EPAMIN ® XR 100 MG CAPSULAS DE LIBERACION PROLONGADA,ASPEN COLOMBIANA S.A.S,INVIMA 2020M-0015854-R1,05/05/2015 12:00:00 AM,10/01/2020 12:00:00 AM,En tramite renov,20075633,1,100,FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD CON CIERRE POR INDUCCIÓN Y TAPA BLANCA EN POLIPROPILENO CON CIERRE A PRUEBA DE NIÑOS POR 100 CÁPSULAS.,Activo,03/06/2015,,No,U,N03AB02,FENITOINA,ORAL,A,FENITOINA SODICA,mg,100,CÁPSULAS DE LIBERACIÓN PROLONGADA,CAPSULA DE LIBERACION PROLONGADA,VIATRIS PHARMACEUTICALS LLC,FABRICANTE,IMPORTAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,21,3,MUESTRA MEDICA CAJA X 3 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO POR 3SIN DATOCAPSULAS,Activo,02/03/2015,10/01/2021,Si,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,18,100,CAJA DE CARTÓN XSIN DATO100 CÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 10 CÁPSULAS.,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,17,90,CAJA DE CARTÓN XSIN DATO90 CÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 10 CÁPSULAS.,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,16,90,CAJA X 90 CAPSULAS EN BLISTER ALU / PVC INCOLORO,Inactivo,12/05/2011,04/07/2016,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,1,15,CAJA DE CARTÓN X 15 CÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 15 CÁPSULAS,Activo,04/28/2010,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20075633,EPAMIN ® XR 100 MG CAPSULAS DE LIBERACION PROLONGADA,ASPEN COLOMBIANA S.A.S,INVIMA 2020M-0015854-R1,05/05/2015 12:00:00 AM,10/01/2020 12:00:00 AM,En tramite renov,20075633,2,100,MUESTRA MEDICA FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD CON CIERRE POR INDUCCIÓN Y TAPA BLANCA EN POLIPROPILENO CON CIERRE A PRUEBA DE NIÑOS POR 100 CÁPSULAS.,Activo,04/30/2015,,Si,U,N03AB02,FENITOINA,ORAL,A,FENITOINA SODICA,mg,100,CÁPSULAS DE LIBERACIÓN PROLONGADA,CAPSULA DE LIBERACION PROLONGADA,ASPEN COLOMBIANA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,1,5,CAJA X 5 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO,Activo,04/23/2010,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,19,2,MUESTRA MEDICA CAJA X 2 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO POR 2 CAPSULAS,Activo,12/05/2011,10/01/2021,Si,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,14,100,CAJA X 100 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
